author,comment,likes,published_at
@mralone-ddied,"Udah, kalian yang punya keahlian di bidang kreatif, JANGAN BANYAK BACOT LAGI, pokoknya, kalo sampai pemerintah desa atau kecamatan nyuruh kalian bikin sesuatu, KAGAK USAH MAU!!! Karena ada potensi di mana kalian bisa di kriminalisasi ketika di masa depan ada yang audit atau apalah yang semisalnya. Pokoknya, JANGAN MAU JADI TUMBAL PEMERINTAH!!!!",0,2026-04-24T22:26:57Z
@etherburst4045,Itu malah kemurahan dari one for all yang animasi nya kek kimaq,0,2026-04-24T18:08:53Z
@nuriyansyahriyan4178,Bang kasih ilmu gimana caranya public speaking seperti ini bang 🙌,0,2026-04-23T09:59:55Z
@samosir7,"harusnya isnpektorat nya diperiksa semua,awal kan laporan inspektorat ke kejaksaan yg bego...",0,2026-04-23T07:07:17Z
@adithverse,"Konyol dan miris disaat yg bersamaan, bagaimana bisa jasa, lalu peripheral dinilai 0 rupiah. Makek logika dagang aja, yg anter barang makek kendaraan apa gak dihitung bensinnya, dll nya? 
Luar biasa pecah ini kasus, sedangkan disisi lain ada yg korupsi triliunan, malah enak enakan liburan, kumpul sama keluarga. Semoga dan semoga ada bang ferry Irwandi lainnya yg bisa bermunculan, sebagai supervisor yg kompeten.",0,2026-04-21T07:09:37Z
@syahbiru8184,Jaksa bangsat!!!!,0,2026-04-20T10:55:42Z
@tindatoba8803dx,"penegak hukum sekarang ini banyak tidak profesional tidak mengerti untuk ap mereka dibentuk negara, baik jaksa, polisi, dll.",0,2026-04-20T07:02:52Z
@helmiadityo1almahdi,"boss coba liat kaca terus liat di mukamu di pipi kanan pikiri, pipi kanan mema pipi kiri lukan, maksud gue sih lu, memalukan",0,2026-04-18T23:01:47Z
@reniyatimahanani9635,beneran bang. orang orang tolol punya jabatan ya begitu itu jadinya,0,2026-04-15T14:46:33Z
@ChairulAmri-o2i,"Fix jaksa & inspektoratnya ini go*lok, rasanya mereka menjalankan negara ini asal-asalan,, untuk profesi se ekslusif itu kok bisa se konyol itu yah,, ditempat gw juga bgitu, inspektorat dan kejaksaannya konyol dan gak qualified secara metodologi berfikir, gw rasa dan temukan ini sejak 16 tahun yg lalu sampai sekarang 2026 ini. tapi ahhh, sudah lahh,, kon*ol memang. korbannya yah lagi2 masyarakat, korbannya yah lagi2 negara. harusnya posisi2 seperti itu diisi oleh orang yang betul2 qulified dan berahlak, malah isinya setan2 lucknut semua.",0,2026-04-14T19:15:59Z
@AlhabibFaro,"sangatt , memalukan",0,2026-04-14T15:31:40Z
@greatndit,"Wait wait , Amsal ini kan vendor , mosok vendor disalahkan ?
loe punya perusahaan , trus ada AC rusak , bagian pengadaan/ purchasing panggil tukang reparasi AC . belakangan diketahui ongkosnya dianggap mahal , trus loe tuntut itu tukang reparasi AC nya...........
trus kasusnya diproses pula sampai pengadilan 🤣😂🤣",0,2026-04-13T11:25:12Z
@SupriAnto-v1c1b,Gimana kabar indo for one😂😂,0,2026-04-12T23:40:07Z
@aserpaskahrihitugu6889,"Apakah ada celah huum untuk menjerat oknum inspektorat pemda yg bikin temuan kerugian negara itu? Misalnya  manipulasi data, perbuatan tidak menyenangkan atau apalah, biar jadi pembelajaran. Kl bodoh jangan meriksa sesuatu yg lu gak tau",0,2026-04-12T14:55:40Z
@gammaperwira3198,Pecat para bajingan2 itu 😂,0,2026-04-12T01:38:40Z
@hablirahman1387,"Mungkin jaksa ini, lagi ngejar target buat nangkapin orang orang😂😂😂",1,2026-04-11T11:00:35Z
@hablirahman1387,"Anjirlah ku kira cuman 2 menit video nya, rupanya sampe 40 menit, wajarlahhh anjirr 30 juta harganya",0,2026-04-11T10:50:17Z
@mbchanel6122,Sangat memalukan sih,0,2026-04-11T06:41:53Z
@Shahrilxx,"Beli motor buat MBG, yang 50 juta... Pada diem diem aja neh... 😂😂😂",0,2026-04-11T03:25:11Z
@tofored-OZ,"team audit di chat GPT : Buatkan saya laporan audit dengan nilai 30 juta, ubah dan jadikan 24 juta.",0,2026-04-10T23:42:38Z
@yunusamy,mana nih komentarnya para pegawai KEJAKSAAN...??? mana nih komentarnya para pegawai KEHAKIMAN...??? mana nih komentarnya para pegawai PENGADILAN...???,0,2026-04-10T22:20:20Z
@santosogunawan6973,film merah putih yang hancur itu berapa anggarannya ??? itu kok aman aman aja,0,2026-04-10T06:45:10Z
@PenaHitam-d6b,"Mencari kekayaan dengan jual beli pasal bawa bawa atas nama Tuhan YME segala...

Yang bersalah dibuat tidak bersalah biar bisa bebas atau malah dibuat ""tambah"" salah agar hukuman tambah berat dari yang semestinya, sementara yang tidak bersalah dibuat bersalah tergantung kepentingan dan atau pesanan....

Sampai disini seharusnya membawa pemahaman kenapa Tuhan YME yang maha baik juga menciptakan neraka jahanam....",0,2026-04-10T02:54:49Z
@ABDULGAFUR-v9l,"Kasihan  MentaL  Kejiwaan Kejaksaan , Kehakiman , Kepolisian   Harus Ada  Psokolog Di lembaga Masing , masing  Agara  Saat Menangani kasus  Jadi PropesionaL",0,2026-04-09T22:38:09Z
@Taraf-Berfikir62,"Editing di capcut ajh bayar buat bikin shorts YouTube 😅 apa lagi ini😂 jaksa ga masuk akal benar benar parah, ko ada orang"" seperti ini jadi jaksa",1,2026-04-09T14:33:33Z
@tfwgindo,Bau bau nyari jabatan itu bangg wkwkkwkww,0,2026-04-09T13:37:41Z
@MinasSpace,"Yg audit tolol, dia gatau skrng harga jasa edit video berapa bjir?!😩😭😭🫵🏻
Selain ngedit makan waktu itu juga nguras pikiran coi, dikata ngedit gapake ide? Gapake konsep? Duh cape bgt, kobisa bisanya ya keterima di instansi pemerintahan orang otak dangkal kek gitu😩😭🥲",0,2026-04-09T13:09:00Z
@felisibnhuraira5396,"Ada pepatah lama,Fer...
Kalau mau padi kau banyak, belajarlah ilmu berladang...
Kalau laris berdagang, belajarlah ilmu berdagang...
Intinya adalah kompetensi...
Kalau tak kompeten di bidang hukum,belajar dulu ilmu hukum...
Jangan pula langsung kau jadi jaksa ..
Kalau tak pandai bidang videografi janganlah pula pandai-pandai kau mengaudit lalu sembarang tuduh...
Kepintaran dan kebodohan adalah pilihan,tapi kalau bodoh yang berlagak pintar,itu bisa bilang orang jadi zolim...
Karena sok pintar itu lebih berbahaya dari sok ganteng...
Itulah ucapanku untuk jaksa dan auditor dalam kasus Amsal Sitepu ini...
Dia dapat tuduhan yang bodoh dengan alasan yang bodoh dari orang yang bodoh tapi ngaku pintar...
Buruk kali nasibmu,Kalak...🙏",0,2026-04-09T10:35:41Z
@MaGochi-hn9gd,"saatnya rakyat mengambil alih menghukum aparatur negara,.. kalo tidak gak bakal dah negara ini berubah",0,2026-04-09T09:11:31Z
@rawonkuah107,"Pejabat nyari 'sisaan' dari proyek pemerintah
Wartawan nyari 'rejeki' dari berita pejabat
Jaksa nyari 'suapan' dari kasus akibat berita itu
Selanjutnya apa lagi yaa???.... 😅",0,2026-04-09T03:56:13Z
@afnankusuma2368,emang villainnya kan pemerintah,0,2026-04-09T02:36:07Z
@suidanoverni6866,"JPU kamfretttt dan Jaksa ketua Kamfrettt, Ahili Kamfrettt yg ada di persidangan itu. Belajar yg banyak dan Integitas tinggi harus menjadi identitas kalian. Rajin belajar dan Integritas harusnya selalu ada di pundak kalian menjadi Integritas, biar NGA tolol. Semoga pemerintah pusat turun ke Sumut, Di check di Sumut itu banyak yg korupsi.",0,2026-04-08T22:25:19Z
@gustiandikarahmadhani7864,gw sih bang lebih setuju buat audit film merah putih oke for all,0,2026-04-08T20:07:46Z
@Setiawan-m3u,"lah namanya juga jaksa  di konoha lulusan PAUD...
asal ada titipan apapun kasus nya pasti d adain...
(jaksa) JAdikan Kasus Supaya Ada cuan..😂😂😂",0,2026-04-08T18:41:57Z
@johk123,Oh jadi yang keluarin hasil perhitungan itu inspektorat kabupaten? Mereka tuh jadi ASN pake jalur apa sih kok bego gitu? Yg gw dengar aparat2 saat ini diwajibkan untuk dapat temuan krn kalo nggak ada temuan berarti nggak kerja. Pantes aja semua proyek mau di kasus kan.,0,2026-04-08T09:38:00Z
@EXSAUDIAs,"😂😂😂kasus paling lawak, teori konspirasi gw si dia liat/tau kalo yg ngasih dia pekerjaan itu korup makanya di bungkam 😂😂😂 lucu bgt anjir , yg jelas jelas korupsi kuota haji di bebasin 😂😂😂 ya Allah negara negara lawak",0,2026-04-08T06:28:17Z
@hasnalfarid6726,Ayo sini pada ngumpul kita semu kita diaini bersama AGen Goerge Soroos,0,2026-04-08T05:13:01Z
@HerrizonPasaribu,"Merinding lihat kasus ini, sangat ga masuk akal. Auditornya paling barisan sakit hati jg yg kong kali kong dengan pengadilan",0,2026-04-08T04:45:10Z
@CihaomaXiexie,"gw harap lu gak goyah bang dg konten"" lu dan dg prinsip"" yg lu pegang. apalagi boleh jd kalo uda kesenggol dan join dalam ranah politik terlebih masuk dalam instansi, lembaga ato apapun itu yg berbau pemerintahan. tp kalo niatnya buat perubahan struggle sih pasti. bedanya bakal quit ato ikut arus yg mana kembali ke jati diri individu.",0,2026-04-08T02:57:15Z
@yudiferiandi,Jaksa apa Maksa... Penuntut butuh penuntun ... Dakwaan isinya Lawakan.....,0,2026-04-08T01:51:07Z
@teknisi3jari574,Kajati nya udah minta maaf di dpr bang.. tolong tanyain jaksa2 nya dihukum apa.?,0,2026-04-08T00:48:38Z
@nandarforsa4687,Bagaimna dengan one for all yg katanya habis 1 m ya?,0,2026-04-08T00:17:29Z
@SemprotTerus-r8u,kok ga ada logo close the door lg Bang?,0,2026-04-07T22:53:43Z
@mbahjerangkong8199,Makin konyol dan ga tahu malu,0,2026-04-07T22:37:33Z
@salamakalsehat7962,Brrti bisa dong proses hukum org yg audit salah anggaran nya😅,0,2026-04-07T19:42:18Z
@azrlarfn5599,Kecilnya gasekolah maksa jadi jaksa jadi gtuu tuuu otaknya di dengkull,0,2026-04-07T16:42:25Z
@hardihardiansyah6513,Nambah lgi ajh musuh masyarakat y🤦🤦,0,2026-04-07T15:39:52Z
@AmatyaminYamin,Negara gagal,0,2026-04-07T15:08:21Z
@GreedyWorld-n1c,sdm rendah kah para penegak hukum nya ya bang !!!,0,2026-04-07T14:28:15Z
@Lynch-np8pu,"Bukanya hal seperti sudah wajar ? Apa yang aneh?
Its a normal day in indonesia bro😂",0,2026-04-07T14:05:11Z
@InayaIntan-h1m,"Kok bisa orang bodoh jadi jaksa.

Smoga si jaksa baca ini. Aamiin.",0,2026-04-07T09:38:15Z
@ManGunSong6,"pedagang ya naik harga jual, gak ada urusan sama anggaran pembeli 😅. Kok bisa hukum salah penempatan istilah?",0,2026-04-07T07:48:08Z
@izall834,audit bodoh jaksa bodoh ya langsung ketok palu salah,0,2026-04-07T06:09:00Z
@hartonoskd7972,"Urun rembung bang Ferry Irwandi,
Pertama beberapa hal saya ada 2 dari 3 spek yang sama, yaitu background accounting dan pengadaan. Sedangkan 1 hal berbeda yaitu bang Ferry di bidang videographer sedangkan saya di bidang IT (yang mungkin sama sudut pandangnya dengan ahli IT Kajari Karo).
Kedua, dalam hal opini dan dukungan, saya sepihak dengan bang Ferry bahwa keadilan harus ditegakkan. Dan common sense kita sama-sama terusik.
Ketiga, saya bukan dalam kapasitas mengkoreksi. Hanya sedikit berbeda sudut pandang dalam memahami persoalan kedua belah pihak. Saya pernah di beberapa proyek kecil IT, menengah dan besar di perusahaan tempat saya bekerja. Kebetulan saya pernah diberi title ""IT Expert"". Dalam beberapa kesempatan saya dimintai analisa dan rekomendasi dari suatu project dari sisi user. Selain saya juga pernah menjadi pihak vendor. Tidak seratus persen kalau ahli IT Kajari Karo punya analisa adanya ""penyimpangan"" RAB. Sekali lagi di awal sudut pandang IT Expert dan Videographer pasti berbeda. Dimana berbedanya?
Saya menyoal industri kreatif skala UMKM. Ukurannya project atau amount kontrak? Saya pernah mengajukan assessment perbaikan jariang IT sekolah dengah hanya secarik atau 1-2 lembar kertas proposal. Nilainya kecil. Saya selaku vendor sama-sama punya pengetahuan dan persepsi yang sama baik deskripsi, ruang lingkup dan nilai yang wajar (sampai ke tahap negosiasi harga) dengan pihak user. Jika di kasus korban nilainya ratusan juta (30 juta per desa) makanya saya menyarankan agar proposal dan selanjutnya kontrak/spk tidaklah sesimple 1-2 lembar kertas. Aspek hukumnya harus dimasukkan kedalam proposal tersebut mengingat kasus ini sampai ke ranah pengadilan hukum. Sebagaimana saya sebutkan saya pernah berperilaku sebagai pihak user (IT expert) yang diminta mempelajari SoW (scope of work), harga wajar, sampai kepada draft kontrak maka mau tidak mau saya harus membaca pasal demi pasal draft kontrak tersebut. Dimulai dari Judul proyek, maksud dan tujuan, pengertian, jangka waktu, ruang lingkup, hak dan kewajiban masing masing pihak. Satu hal yang saya kritis di dalam kasus ini. Apakah ada klausul pengertian di kontrak tersebut semisal apa definsi Video Design, Tenant, Cut/Edit, dsb. sehingga masing-masing pihak punya pemahaman yang sama. Termasuk pihak lain (auditor, jaksa, hakim) punya pemahaman yang sama. Secara common sense bang Ferry boleh mentertawakan ahli IT yang memberikan analisa audit tentang pengertian/definisi tersebut. Tetapi apakah dituangkan ke dalam SPK/kontrak sehingga berakibat hukum di kemudian hari? Kebetulan saja saya berteman dengan produsen acara TV sehingga saya sempat bertanya apa itu jasa Tenant. Alangkah baiknya pengertian/deskripsi dasar tersebut dituangkan ke dalam kontrak. Jeleknya orang Indo adalah malas membaca, membuat detail pekerjaan/kontrak, serba mau ringkas, cepat dan jadi duit. Saya pun pernah mengalami hal tersebut bersusah payah membaca/mereview kontrak dengan dicampur bahasa hukum yang tidak sejalan dengan bidang saya. Koreksi buat industri kreatif UMKM kita agar sedikit berusaha menyentuh bahasa hukum sehingga jika dipermasalahkan, punya dasar dan pagar yang kuat. Ini kebetulan saja common sensenya kelewatan dan viral dan mendapat atensi anggota DPR.
Jadi kalau boleh saya menchallenge bang Irwandy yang pernah pengalaman di pengadaaan sebagaimana saya juga saya pernah mengikuti pengadaan baik di LPSE, B-to-B dan UMKM. Sehingga kita bisa mengukur titik lemah dan celah dari kasus ini. Apalagi ini pengadaan ke pemerintahan (daerah). Saya pikir harus lebih fair kenapa semisal klausul pengertian saja bisa jadi dispute dan ke ranah hukum. Siapa yang salah dan lengah dalam hal ini?",0,2026-04-07T05:48:09Z
@primadona12,"Coba angkat rekayasa kasus Gus Yaqut Qoimas, apa ada kesalahan?!",0,2026-04-07T05:39:58Z
@Plikameliachannel,"seperti biasa, karena yg dapat pekerjaan itu rakyat, bukan mereka. merka takut tersaingi dengan harga murah dari Amsal. terus juga merka nggak dapat jatah dari Amsal 🤣. ajur ndonyo Indonesia. padahal yang mahal itu justru ide dan kreatifitas seseorang sehingga menjadi karya yang luar biasa.",0,2026-04-07T05:31:49Z
@fajararifwibowo5122,"kampret ni orang pinter bener, maju terus mas Ferry",0,2026-04-07T04:49:04Z
@Ahaann07,"noh one for all di audit,,biaya nya selangit...... capcut aja pro pak 😂",0,2026-04-07T04:11:59Z
@arifjunaidi282,Karena tim Pemda GK dapat bagian ya korupsi molai di munculkan dasar penganut sekte kotor,0,2026-04-07T04:08:13Z
@anggernurhadi2147,𝙆𝙤𝙠 𝙗𝙞𝙨𝙖 𝙤𝙧𝙜 𝙗𝙤𝙙𝙤𝙝 𝙙𝙥𝙩 𝙟𝙖𝙗𝙖𝙩𝙖𝙣 𝙮𝙜 𝙢𝙚𝙣𝙩𝙚𝙧𝙚𝙣𝙜 𝙝𝙖𝙮𝙤𝙤𝙤𝙤𝙤.... 𝙂𝙞𝙢𝙖𝙣𝙖 𝙞𝙩𝙪....,0,2026-04-07T03:57:19Z
@JustJillBartender,"Setelah kasus ini, yaa jangan heran klo banyak pekerja ekonomi kreatif mikir 2x buat ambil job dari pemerintah, takut dikenai kasus + markup anggaran dan hal kecil lainnya yang bisa mereka ubah",0,2026-04-07T03:31:55Z
@ronykarunia1102,bang tolong dibantu viralin juga yg sudah divonis penjara frelancer videografi dengan kasus dan jaksa yang sama.,0,2026-04-07T03:09:22Z
@AhmadArsyad-u6b,Peran Netizen sangat bermanfaat bagi orang kecil yg diperlakukan semena mena oleh Hukum selera Penguasa,0,2026-04-07T03:09:09Z
@HARISTAKA30,"Sekarang indo kebodohan nya sudah diluar nalar akal hewan ,heran sama kebijakan peraturan dll amburadul banget ya",0,2026-04-07T02:51:47Z
@invismonyed,"Kasus pengadaan aneh yang telah viral kalau yang lain masih belum ke up media juga
kayak tren buatan untuk membaikan citra, ternyata sebaliknya
Harga diri professional telah di injak injak oleh ""oknum"" berkomplot yang memakai nama institute dan membawa nama tuhan.",0,2026-04-07T02:45:33Z
@mitsukibenedict,Astaga...malu aku jdi warga Sumut tapi punya pejabat daerah yg SDM nya..ga tebilang lagi lah...buat malu warga Karo aja,0,2026-04-07T02:21:16Z
@zahlulikhsan9891,"gitulah faktanya.. kalau anda masuk masalah hukum dan ngk ngerti aturan, maka anda akan digiring kedalam opini yang dibentuk oleh APH, kalau anda tidak mampu menyanggah dengan dasar aturan yang jelas, maka anda akan hanyut terbawh arus, ditambah lagi kalau anda tidak paham negosiasi maka ... udah tau ENDINGNYA ANDA AKAN TENGGELAM",0,2026-04-07T02:17:08Z
@kaylaputri1028,2030 kata si gemoy Indonesia bubar wajar lah 2026 aja dah banyak kebijakan yg nggk jelas rakyat selalu di hantam dengan kebijakan dan UUD yg menindas rakyat,0,2026-04-07T01:37:06Z
@alwanbone,Jaksanya mencurigakan,0,2026-04-07T00:35:22Z
@chokygurning126,Itu inspektoratnya lihat dan baca RKA dan SIPDgak ya?,0,2026-04-06T23:51:25Z
@neviadhie2381,Yg audit OOn banget itu sih,0,2026-04-06T23:13:46Z
@Mifta1014,"yang harus di audit itu yang menyetujui anggaran, videographer mah cuma ngasih proposal/harga setuju ok artinya sepakat. disini perangkat desanya sepakat, kenapa belakang udah jadi diubah kesepakatannya dan yg disalahkan videographer, konyol emang. terlebih jaksa, ada apa jaksa menyalahkan penyedia jasanya melindungi perangkat desanya!!, yg harusnya diperiksa kan ya yang mengadakan dan yang menyetujui anggaran dalam hal ini perangkat desanya.",0,2026-04-06T19:17:44Z
@kiranashmlka4789,mereka sdm2 cerdas sebenarnya tapi lingkungannya kotor dan berlumpur ... godaan lingkaran korup pungli lebih menjanjikan..saling bersinergi untuk singkirkan penggganggu lahan basahnya...menyedihkan ya para pengurus2 negara kita ini...yuk ah rakyat bgmn ini..mo amp .kapan negara kita di urus sdm2 kotor ????,0,2026-04-06T17:19:00Z
@kiranashmlka4789,kasus pesanan...tahulah ya,0,2026-04-06T17:11:30Z
@kiranashmlka4789,"entah harus siapa yang bisa bersihkan negara ini dari orang bajingan2 korup, mafia hukum dan elit2 politik kotor ....hanya Tuhan yang bisa ...",0,2026-04-06T17:10:19Z
@ariciswanto,"Ide, Mic, Cutting, Editing, Dubbing, mau dong GRATIS.",0,2026-04-06T16:41:58Z
@DeathCruz13,"kalau amsal sampai bebas, saya harap tuntut jaksa,hakim dan kroni2 nya semua, pertanyakan dasar hukum dan keputusan yang sudah dibuat bagaimana bisa seenaknya memenjarakan orang.. tuntutan dan dasar hukumny ngaco dan tidak mendasar, dipaksakan.. angkat terus kasus ini biar masyarakat kecil tidak seenaknya ditindas mereka yang berkedudukan dari suara rakyat",0,2026-04-06T16:18:37Z
@gravelle7774,Baru jelasin lu bilang editing dimark jadi 0 rupiah aja gua udah teriak tolol bang.,0,2026-04-06T15:51:17Z
@mozkhaliberrination8109,"Tolong w ga tahan lagi.. maaaf banget... ""Tae bener otak itu jaksa Karo!!!""... 🫠☠️",0,2026-04-06T14:52:39Z
@petir98,Wkwkwkkwkwkw....susah mau komen bang 😂😅 serendah itu kah kwalitasnya.,0,2026-04-06T14:29:00Z
@alara_arroyan,ada aja ya cara manusia nyari duit jaman skarang,0,2026-04-06T14:13:50Z
@sumadi-s7r,"Emang aneh ko bang hukum dinegara ini,......",0,2026-04-06T13:48:56Z
@allaily6482,"Aseli orang yang makan nangka, awak yang kena getahnya. Ada ya ada. Makasih ya Bang Fer bahasannya..sangat membantu",0,2026-04-06T11:49:20Z
@lemonadedreams399,Mungkin ada anggaran dari pemerintah pusat / pemerintah jika dapat kasus korupsi maka dapat insentif jadi semua orang dianggap korupsi hahaha,0,2026-04-06T11:48:54Z
@zelnurzelnur1681,"Ini bapak ibu inspektorat gk kebagian jatah .. jadi dimunculkan   akal kalau  si amsal korupsi.. 
Hahaaaa",0,2026-04-06T11:26:22Z
@arsitama,"30 juta mah murah, ibarat makan di warteg",0,2026-04-06T10:30:11Z
@protukang94,"Lihat kasus ini ,saya sng rakyat jelata kata mereka serasa PNGN berkata2 kasar guk guk guk",0,2026-04-06T10:28:14Z
@HanafiKNI,Jaksa ANJINKK...CUIH,0,2026-04-06T10:21:27Z
@slametcahyo92,Jgn kerja sama sama daerah .  Tolo semua,0,2026-04-06T10:10:32Z
@slametcahyo92,Tololl bgt .  SDM. Sampah pada jadi penjabat .  Nyogok doan. .   Ayo INDONESIA BERSIH TERUS,0,2026-04-06T10:08:01Z
@slametcahyo92,SDM rendahan suruh jadi pengeak hukum .   Y konyol jadi nya,0,2026-04-06T10:02:15Z
@slametcahyo92,Tolol . .  Bukan pejabat .  Tidak bisa di hukum korupsi .   Tolol kljaksa jaksa nya,0,2026-04-06T09:58:48Z
@antoniussetiadi8847,Pemerintah emang dungu mau daerah mau pusat 😊,1,2026-04-06T09:53:59Z
@Jangmed-Mechanix,Video animasi MBG pakai AI brp Miliyar itu?,0,2026-04-06T09:33:03Z
@rayyan0002,"kwonthollllll, ohh ternyata segitu doang kapasitas dari tanah yang katanya tempat para pengacara lahir, memuakkan sekali. CUIH!💦",0,2026-04-06T09:06:21Z
@budak_wakanda,Itu proyek MBG di mark up brp ya 😂,0,2026-04-06T08:44:58Z
@JDensuDM,"Kalau di dunia medis kedokteran ada istilah malapraktek dan bisa dituntut secara hukum, lah kalau di kejaksaan ada nggak ini?",0,2026-04-06T08:27:32Z
@aghnymardhiyah1157,Bodoh & tak punya malu!,0,2026-04-06T08:18:17Z
@tiandmartini9858,Lahh kok mau di bego begoin sm org bego 😮,0,2026-04-06T08:07:39Z
@rahmawatisahrul1822,"Pemeriksannya bodoh atau mabuk😂😂kuliah hukum tpi mainya kezaman batu, ngak gerti teknologi😅😅",0,2026-04-06T08:06:07Z
@aribro3027,"YANG RUSAK SDM PEJABATNYA PEMERINTAH SETEMPAT.
.
YANG DI AUDIT KREATOR.
.
Tol0l bangettt.",0,2026-04-06T07:58:15Z
@AhmarRizaAR,"Gw lagi tabung uang untuk pindah negara, pusing gw, pecah kepala lama” di indo ni",0,2026-04-06T07:29:32Z
@ekohernanda5535,"aku yakin,org2 d inspektorat tidak dapat jatah d proyek ini,,,makanya mereka mencari2 kesalahan dari vendor",0,2026-04-06T06:41:50Z
@GameHolic-ws3kj,Kadang hal seperti ini membuat anak muda punya ide kreatif takut bekerja sama dengan lembaga pemerintah...,0,2026-04-06T06:24:54Z
@hanrosrafchannel6840,"INDONESIA sekali lagi indonesia ingin jadi negara maju hanya akan jadi dongeng sebelum tidur ""jika"" Pejabatnya diisi makhluk2 goblok dan otaknya korupsinya semua !!!",0,2026-04-06T06:19:20Z
@neilanathaniaedelweis9958,"Gimana kabar korupsi yg amat sangat mega korupsi..,g ada kabar tuh..
Cm sperti ini dipermasalahkan..konyoL...bobrok konoha",0,2026-04-06T06:07:01Z
@rusmantotuginozubaidi3163,"aneh seorang penjual jasa video creator dituduh menaikkan harga paket pekerjaan, apa masih waras para penuduh dia korupsi ?",0,2026-04-06T05:37:08Z
@pionardt,"jadi ingat kasus aibon yg mencapai milyaran, enga ada satupun yang berani kutik",0,2026-04-06T05:36:48Z
@fitrieandryani788,tolong ya bang dibantu kasusnya kalo sampai berlanjut😇,0,2026-04-06T05:24:41Z
@fitrieandryani788,30jt pervideo udh murah kali itu. utk biaya transportasi. akomodasi. blm lagi ide yg kreatifnya aja nombok. udh gila tu jaksa. kalo mau cari kesalahan orang. masih banyak tu koruptor yg harus diperiksa,0,2026-04-06T05:21:53Z
@Arbalesss,Apa landasan seorang disebut ahli? Soalnya akhir² ini kok byk yg ngaku ahli,0,2026-04-06T05:13:57Z
@noob_gamers590,"Karena Duit aja nih :
Sekolah Hukum = Pinter : ❌
Sekolah hukum = Tolol ✔",0,2026-04-06T05:11:48Z
@cwankitv,"Setelah indonesia dipimpin pemimpin bodoh ijazah bodong, dari situlah kejahatan2 mulai bergerak masif dan terstruktur. Mulai dari bawah(Premanisme berkedok ormas), aparat yang gak qualified, sampai para elit yang memegang kekuasaan.",0,2026-04-06T04:46:50Z
@endrotriwahyono7244,"Dari dulu proyek2 serupa, birokrat mengorbankan pelaku usaha (selaku mitra) sbg kambing hitam proyek2 pemerintah. 

Mrk cuci tangan dan pesta duit korupsi - namanya tak tersentuh seolah bersih, padahal........dalang busuk bangke lah!!",0,2026-04-06T04:32:55Z
